X (km),Y (km),Z (km),Time Step,Revolution
-6841.944139083523,-20.11565119652116,-426.55135349347233,51,0
-6801.896273782637,-40.15285712661281,-851.4392791295134,52,0
-6735.321316480344,-60.03346747434418,-1273.006603460913,53,0
-6642.475851043215,-79.67992088394489,-1689.608641910502,54,0
-6523.717809595466,-99.01553708825995,-2099.6193933400787,55,0
-6379.505190914469,-117.96480621656477,-2501.4376748078125,56,0
-6210.394417938606,-136.45367434384653,-2893.4931766261307,57,0
-6017.038338388251,-154.40982434588975,-3274.252417879426,58,0
-5800.183873430053,-171.76295112756281,-3642.2245826257804,59,0
-5560.66932026587,-188.44503029586878,-3995.967217095241,60,0
-5299.421315504907,-204.390579354687,-4334.091768310951,61,0
-5017.4514671810775,-219.53691050509315,-4655.268944706981,62,0
-4715.852664309954,-233.82437414386482,-4958.233879501674,63,0
-4395.7950739405605,-247.19659216363192,-5241.791077815388,64,0
-4058.5218367461034,-259.6006801714027,-5504.819128802961,65,0
-3705.3444733131387,-270.9874577582269,-5746.275164411143,66,0
-3337.6380144286118,-281.31164597185347,-5965.1990467762025,67,0
-2956.835869822875,-290.53205116680857,-6160.717266755406,68,0
-2564.4244510030285,-298.61173443255814,-6332.04653664253,69,0
-2161.9375649946514,-305.5181658307903,-6478.497060761541,70,0
-1750.9505969976947,-311.2233627075113,-6599.475468367502,71,0
-1333.07450114381,-315.7040113849472,-6694.487394117118,72,0
-909.9496197094254,-318.94157158235936,-6763.139692306778,73,0
-483.2393522811982,-320.9223629640143,-6805.142272117828,74,0
-54.62369747765414,-321.6376332668296,-6820.309542259811,75,0
374.20730911012157,-321.08360751971964,-6808.561454664175,76,0
801.5602360954996,-319.2615179314105,-6769.924138253854,77,0
1225.7449509998758,-316.17761409341614,-6704.53011529686,78,0
1645.081342049529,-311.8431532198608,-6612.618094442209,79,0
2057.9060398883307,-306.2743702256801,-6494.532336229718,80,0
2462.5791113966975,-299.4924275291626,-6350.72158865546,81,0
2857.4906972990607,-291.52334455345124,-6181.737592254721,82,0
3241.067564871287,-282.39790699405694,-5988.233156124263,83,0
3611.7795468360305,-272.15155601515227,-5770.959808335411,84,0
3968.145837470315,-260.8242576357857,-5530.76502627542,85,0
4308.741117053045,-248.4603526675672,-5268.589054583768,86,0
4632.201476060469,-235.10838766705055,-4985.461320506096,87,0
4937.230110980178,-220.82092746821021,-4682.4964586549695,88,0
5222.60276426309,-205.65434996227208,-4360.889959326707,89,0
5487.172881772175,-189.66862389276983,-4021.913456656919,90,0
5729.87646211545,-172.9270705322107,-3666.9096749864216,91,0
5949.736573467531,-155.49611020222986,-3297.2870538340817,92,0
6145.867514885681,-137.44499469062038,-2914.5140738136465,93,0
6317.478600705364,-118.8455267052894,-2520.113307669248,94,0
6463.8775483488835,-99.77176758611347,-2115.6552223202634,95,0
6584.473451788012,-80.29973456995543,-1702.7517593815037,96,0
6678.779324953978,-60.507088971084976,-1283.0497230449976,97,0
6746.414201571984,-40.47281669801032,-858.2240054557683,98,0
6787.104780194424,-20.276902577838452,-429.97068077657207,99,0
6800.686605599999,0.0,0.0,0,1
6787.104780194424,20.27690257783847,429.9706807765725,1,1
6746.414201571984,40.472816698010156,858.224005455765,2,1
6678.779324953981,60.50708897108449,1283.0497230449873,3,1
6584.473451788016,80.299734569955,1702.7517593814948,4,1
6463.877548348887,99.77176758611303,2115.655222320254,5,1
6317.478600705362,118.84552670528979,2520.113307669256,6,1
